URI,Album,Song Name,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
4uuEGH5SVuzkkSFjo2DEiY,Fearless,Don't You,1,25,69,False,0.563,0.473,3,-11.548,1,0.0503,0.514,1.2e-05,0.109,0.405,101.934,208609,4
6a8aUhYbaQBUI8PcJ5ZmQ6,evermore,closure,1,14,69,False,0.6890000000000001,0.7040000000000001,9,-10.812999999999999,1,0.245,0.835,4.83e-06,0.134,0.92,151.884,180653,5
7HC7R2D8WjXVcUHJyEGjRs,Fearless,Breathe (Ft. Colbie Caillat),1,7,69,False,0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,263377,4
4qUijfYU8EoIWiY6oSyrgT,Fearless,Bye Bye Baby,1,26,68,False,0.624,0.624,5,-7.86,1,0.0539,0.33399999999999996,0.0,0.0995,0.527,80.132,242158,4
0k0vFacOHNuArLWMiH60p7,Fearless,Tell Me Why,1,8,68,False,0.578,0.909,7,-3.6689999999999996,1,0.0628,0.0222,0.0,0.33299999999999996,0.541,100.023,200576,4
2JoJrsEV15OzbijS47lids,Fearless,Today Was A Fairytale,1,20,68,False,0.48200000000000004,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.29600000000000004,0.32799999999999996,158.162,241822,4
34V9RiEPe8MNdU32qJsJa1,Fearless,We Were Happy,1,23,68,False,0.609,0.373,0,-8.818999999999997,1,0.0263,0.8490000000000001,0.0,0.0779,0.13,106.007,244237,4
0tQ9vBYpldCuikPsbgOVKA,Fearless,Untouchable,1,15,68,False,0.39299999999999996,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.16899999999999998,0.22399999999999998,200.391,312107,4
0Om9WAB5RS09L80DyOfTNa,Taylor Swift,Tim McGraw,1,1,68,False,0.58,0.491,0,-6.4620000000000015,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,4
0DMVrlMUn01M0IcpDbwgu7,Red,Girl At Home,1,19,68,False,0.691,0.736,5,-6.974,1,0.0326,0.00955,1.88e-05,0.10099999999999999,0.612,125.089,220520,4
6ON9UuIq49xXY9GPmHIYRp,Fearless,The Best Day,1,12,67,False,0.642,0.5760000000000001,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0,245290,4
3ExweHKZF9B752DPQByRVT,Fearless,Change,1,13,66,False,0.499,0.815,5,-4.063,1,0.0341,0.00019099999999999998,0.0,0.18100000000000002,0.344,95.999,279360,4
4CHpVfAhuxNJ3ibExe6kxO,Fearless,You All Over Me (Ft. Maren Morris),1,21,66,False,0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.10099999999999999,0.44,142.893,220839,4
1n2wszmJyVkw6FHqyLnQsY,Fearless,Come In With The Rain,1,17,65,False,0.47600000000000003,0.564,2,-5.6770000000000005,1,0.0269,0.0406,0.0,0.102,0.16699999999999998,143.929,237339,4
7nWui6jiMM2m9qFmET1Mtj,Red,Ronan,1,21,65,False,0.623,0.27899999999999997,0,-10.802,1,0.031,0.6609999999999999,0.0,0.193,0.38,116.04,264253,4
51A8eKvvZz9uydvIZ7xRSV,Fearless,Superstar,1,18,64,False,0.45399999999999996,0.555,2,-6.69,1,0.0283,0.157,0.0,0.34299999999999997,0.171,171.862,263865,4
0JIdBrXGSJXS72zjF9ss9u,Taylor Swift,I'm Only Me When I'm With You,1,12,62,False,0.563,0.934,8,-3.6289999999999996,1,0.0646,0.004520000000000001,0.000807,0.10300000000000001,0.518,143.964,213053,4
2QrQCMel6v2JiLxqrg4p2O,Taylor Swift,Mary's Song (Oh My My My),1,10,62,False,0.40299999999999997,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,213080,4
7an1exwMnfYRcdVQm0yDev,Taylor Swift,Cold As You,1,5,60,False,0.418,0.48200000000000004,5,-5.769,1,0.0266,0.217,0.0,0.12300000000000001,0.261,175.558,239013,4
73OX8GdpOeGzKC6OvGSbsv,Taylor Swift,A Place In This World,1,4,60,False,0.5760000000000001,0.777,9,-2.8810000000000002,1,0.0324,0.051,0.0,0.32,0.428,115.02799999999999,199200,4
6K0CJLVXqbGMeJSmJ4ENKK,Taylor Swift,Tied Together With A Smile,1,7,59,False,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,248107,4
2ZoOmCSgj0ypVAmGd1ve4y,Taylor Swift,Stay Beautiful,1,8,59,False,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.13699999999999998,0.504,131.597,236053,4
2QA3IixpRcKyOdG7XDzRgv,Taylor Swift,The Outside,1,6,58,False,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.98200000000001,207107,4
5OOd01o2YS1QFwdpVLds3r,Taylor Swift,Invisible,1,13,58,False,0.612,0.39399999999999996,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,203227,4
1spLfUJxtyVyiKKTegQ2r4,Taylor Swift,A Perfectly Good Heart,1,14,57,False,0.483,0.7509999999999999,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,220147,4
